1,Windows7.Pro.32bit.SP1,Windows,7,Professional,32bit,SP1,noCustom,2048
2,Windows7.Pro.64bit.SP1,Windows,7,Professional,64bit,SP1,noCustom,2048
3,Windows10.Pro.64bit.noSP,Windows,10,Professional,64bit,noSP,none,2048
4,Windows81.Pro.64bit.noSP,Windows,8.1,Professional,64bit,noSP,none,2048
5,WinServer2008R2.Standard.64bit.noSP.other,Windows,Server2008R2,Standard,64bit,noSP,none,2048
6,WinServer2012R2.Standard.64bit.noSP,Windows,Server2012R2,Standard,64bit,noSP,none,2048
